,Title,Poem,Poet,Tags
172,"
                    In the Culture of Now
                ","
My mother is dying of too much electricity on the brain, my father, a limp in his walk, & my macho lost his green card at a bus station. I want words split letter for letter to turn sound into wisdom on my losses.
 

•
 

My macho says: Your skin is the color of milk, you glow between sheets. ¿Who gives more light: me, or the luna lunera? Too much milk makes you sick — drink, drink, cascabelera.
 

•
 

I want to leave my hembra behind. ¿What are my options? She bleeds on the rug, births a litter, then hides limp bodies in kitchen cabinets.
 

•
 

I lied. My father is dying of too much electricity on the brain, my macho, a limp in his walk, & my mother lost her green card at a bus station. Who these losses happened to matter to no one but me. To others, my loss is only worth its sum parts.
 

•
 

I pour a shot to get the flies drunk. Watch their little legs stagger. I like the flies tipsy, like my macho likes me when I am glazed on the kitchen floor, begging him not to leave me.
 

•
 

Come kill me over the stove, under the running shower head, gravel my skin bloody. I am so afraid one night my macho will choke me to death, though I am not afraid of dying.
 

•
 

My macho says: Hembra, I imagine the woman I love when I’m with you, but you’re not that woman. I ask: Who is she? My macho says: Cállate, take off your dress. Each of   his fingers strokes death. I only want to die. So I die, una y otra vez.
",Natalie Scenters-Zapico,"Living,Death,Sorrow & Grieving,Love,Break-ups & Vexed Love,Social Commentaries,Crime & Punishment,Gender & Sexuality,History & Politics"
173,"
                    Notes on My Present: A Contrapuntal
                ","



With statements by President Donald Trump



I write my body, as border between We have some bad hombres here
this rock & the absence of water. & we’re going to get them out.
I cut myself with a scimitar, When Mexico sends its people,
as political documentation. they’re not sending their best.
How do you write about the violence They’re not sending you.
of every man you’ve ever loved? They’re sending people
Macho, you that have lots of problems
breathe bright in the neocolony, & they’re bringing those problems to us
a problem of Empire pulling They’re bringing drugs. They’re bringing
the capitalist threads of my border. crime. They’re rapists.
Empire: you were so sterile Mexico’s court system [is]corrupt.
& shiny with your dead man’s coins I want nothing to do with Mexico
& castration, your white roses other than to build an impenetrable
& that trash bag full of a Mexican WALL & stop them from ripping
woman’s dark hair. Empire: you off U.S. I love the Mexican people,
made us hungry for the glint but Mexico is not our friend.
of machismo, the dim glare They’re killing us at the border
of marianismo. Tonight on TV, & they’re killing us on jobs & trade.
muted montages of the largest FIGHT! Happy #CincodeMayo!
ICE raid in Texas. I drink The best taco bowls are made
pink champagne in a hotel bar, in Trump Tower Grill. I love Hispanics!
& correct the pronunciation of   my name.
",Natalie Scenters-Zapico,"Living,The Body,Social Commentaries,Gender & Sexuality,History & Politics,Race & Ethnicity,War & Conflict"
174,"
                    Near-Earth Object
                ","
Unlike the monarch, though
the asteroid also slipped
quietly from its colony
on its annular migration
between Jupiter and Mars,
enticed maybe by
our planetary pollen
as the monarch by my neighbor’s
slender-leaved milkweed.
Unlike it even when
the fragrant Cretaceous
atmosphere meteorized
the airborne rock,
flaring it into what might
have looked to the horrid
triceratops like a monarch
ovipositing (had the butterfly
begun before the period
broke off). Not much like
the monarch I met when I
rushed out the door for the 79,
though the sulfurous dust
from the meteoric impact
off the Yucatán took flight
for all corners of the heavens
much the way the next
generation of monarchs
took wing from the milkweed
for their annual migration
to the west of the Yucatán,
and their unburdened mother
took her final flit
up my flagstone walkway,
froze and, hurtling
downward, impacted
my stunned peninsular
left foot. Less like
the monarch for all this,
the globe-clogging asteroid,
than like me, one of my kind,
bolting for the bus.
",John Shoptaw,"Nature,Animals,Stars, Planets, Heavens"
175,"
                    The Government Lake
                ","
          The way to the toy store was blocked by a fallen tree
in the road. There was a policeman directing traffic down a
side street. I asked him, “What happened?” He said, “Lightning
in the night.” I took the turn and drove down the street
looking for a way to turn back. Other streets were blocked by
fallen trees, and I couldn’t find a way back to the toy store.
I kept driving and soon I was on the outskirts of town. I
got on a highway and drove, soon forgetting the toy store and
what I was supposed to get there. I drove on as if I was hypno-
tized, not noticing the signs for turnoffs. I must have driven
a couple of hours before I woke up, then I took the next exit
and had no idea where I was. I drove down a straight tree-lined
lane with farm houses on either side. There was a lake at the
end of the lane. I pulled over and parked. I got out and
started walking. There were several docks along the shore.
I walked out on one and watched the ducks swimming and diving.
There was something bobbing in the middle of the lake. I stared
at it for a long time before I realized it was a man’s head.
Then, a moment later, it was a coconut. No, it was an old tire
floating right side up. I gave up and started following the
ducks. They would suddenly fly up and circle the lake and
come down and splash land again. It was quite entertaining.
A man walked up behind me and said, “This government lake is
off-limits to the public. You’ll have to leave.” I said,
“I didn’t know it was a government lake. Why should it be
off-limits?” He said, “I’m sorry. You’ll have to leave.”
“I don’t even know where I am,” I said. “You’ll still have
to leave,” he said. “What about that man out there?” I said,
pointing to the tire. “He’s dead,” he said. “No, he’s not.
I just saw him move his arm,” I said. He removed his pistol from
his holster and fired a shot. “Now he’s dead,” he said.
",James Tate,"Activities,Travels & Journeys,Social Commentaries,History & Politics,Mythology & Folklore,Heroes & Patriotism"
176,"
                    The Truth
                ","
          Mitzy fell asleep as soon as we got home, but I didn’t.
The evening had upset me. Why did Jack keep asking me if I’d
been married before? And why did my answer not satisfy him?
It was probably just a bad joke. Jack’s humor is off sometimes.
But he’s not a bad guy. Well, then I went to bed. When we woke up
in the morning Mitzy said, “Jack was right about you, wasn’t he?”
“What do you mean?” I said. “Jack said you were kicked out of
the Army,” she said. “I was never in the Army, how could I be
kicked out?” I said. “I don’t think he likes me.” “Oh, I think
Jack likes you a lot. He just wishes you were more interesting,”
she said. “And by making me secretly divorced and secretly kicked
out of the Army I’m instantly more interesting, is that it?” I
said. “According to Jack you are,” she said. “I think we had better
have breakfast,” I said. “Good idea,” she said. During breakfast
I said, “Don’t you think I’m interesting?” “Of course I do, honey,”
she said. “Let’s forget it. I mean, Jack is an old friend. Maybe
he was just drunk,” I said. “That’s probably it,” she said.
“What are you going to do today?” I asked. “I’m thinking of buying
a new dress for the wedding,” she said. “What wedding?” I said.
“You know, Carol and Bob’s wedding, next Saturday,” she said.
“Oh God, I forgot all about it,” I said. “How could you forget?
Bob’s your best friend,” she said. “I know, I just had my mind
on other things, but now I’ll focus on their wedding, I promise,”
I said. Shortly after that Mitzy left the house. I cleaned up
the breakfast dishes, then sat down on the couch. Why had Jack told
the two secrets I had told him years ago. I had sworn him to
silence, and now everybody knew. I had told him I would kill
him if he ever told anybody. I wasn’t going to kill him, but I
did think about disappearing, just vanishing altogether. Where
would I go? What would I do? And I do love Mitzy. I could tell
her the truth. I’ve had eighteen years to do that, and not a
squeak so far.
",James Tate,"Living,Life Choices,Marriage & Companionship,Love,Break-ups & Vexed Love,Relationships,Friends & Enemies"
177,"
                    The Thief
                ","
          My wife and I were spending a quiet night at home. She was reading
a magazine on the couch and I was reading my novel in my chair. I said,
“Darling, can I fix you a cup of hot chocolate?” She said, “That would
be great.” So I got up and went into the kitchen and started to boil the
milk. A few minutes later I handed her the cup. “Hmmm, smells great.
Thank you, darling,” she said. I sat down and resumed my reading. She
said, “Did you know a tiger has the same number of bones in it as a monkey?”
“I don’t believe it,” I said. “And a whale has the same number as a mouse.”
“Get out of here,” I said. “These are some little known facts discovered
by a man named John D. Baxter,” she said. “He must be crazy,” I said.
Then we were quiet for a while. I looked over and she was asleep. I went
on reading my novel. Then I put my novel down and got up and started to
tiptoe around the house. I went into our bedroom and over to the dresser.
I opened up Mitzy’s jewelry box and let the jewels run through my fingers.
There were some fantastic pieces in there, diamonds, rubies, emeralds. I
thought about stealing some, but felt creepy about it. I put them back in
the box and tiptoed back into the living room. I tripped on the coffee table
and went crashing down. Mitzy woke with a start. “Go back to sleep,”
I said. “What was that?” she said. “I tripped, that’s all,” I said.
She started to get up. “Where are you going?” I said. “I want to look in
my jewelry box,” she said. “Why?” I said. “I dreamed somebody was trying
to steal something in there,” she said. She went into the bedroom and
looked in the box, then came out. “It’s okay,” she said. “Well, I’m glad,”
I said. She got back on the couch and picked up her magazine. “Did you
know jellyfish have bigger brains than humans?” she said. “I don’t believe
it,” I said. “Well, they do. It says right here,” she said.
",James Tate,"Living,Marriage & Companionship,Nature,Animals,Social Commentaries,Crime & Punishment"
178,"
                    The Walk Home
                ","
          I told the doctor I wouldn’t be seeing him again. “No, I guess
you won’t,” he said. I walked out the door feeling really good. Of
course I knew I was going to die, but still the day looked bright to
me. I walked down to the water. Ducks were circling around and about.
A sailboat sailed by. I walked along the shore. The sun beat down
on me. I felt as though I might live forever. I sat down on a bench
and watched the joggers pass. A pretty blonde walked by and I said,
“Hello.” She looked at me and said hello. A man with a greyhound
on a leash walked by. I got up and started to walk. A woodpecker
was pounding on a tree. An airplane flew over, leaving a thick trail of
smoke. I left the lake and walked on up the road. I crossed at the
streetlights and crossed the bridge. A car swerved to miss me. I
thought, that could have been it, the end right there, but I walked on,
bravely dodging the cars. When I got to the residential district, I
felt relieved. There were large elms and maples overhanging the street,
and people pushing baby carriages. Dogs ran loose everywhere. A man
stopped me and asked if I knew where 347 Walnut Street was. I said
I didn’t. He said, “Oh well, it didn’t matter anyway.” I said, “Why?”
He said it was a funeral notice. I walked on, bumping into a fat lady
with a load of groceries. I said I was sorry. She kept going, dropping
a load of grapefruit. Then, further on, there was a giant explosion across
the street. Police and firemen were there right away. It appears it
was a gas main beneath the shop. No one was there, luckily, but the
firetrucks had their hands full. I left before it was out. The shop
was pretty much destroyed. When I got home I was tired. I made
myself a cup of tea and sat down on the couch. I thought about calling
my mother, but she was in heaven. I called her anyway. “Mom, how are
you doing?” I said. “I’m bored. Don’t come here. There’s nothing to
do,” she said. “Aren’t there angels?” I said. “Yes, but they’re boring,”
she said. “But I was going to come see you,” I said. “Go to hell, it’s
more exciting,” she said. I had fallen asleep with my teacup in my
hand. When I awoke I realized I had thought it was a phone. My
mother would never be so sarcastic about heaven.
",James Tate,"Living,Death,Relationships,Family & Ancestors"
179,"
                    Lychee Express
                ","
What would the lovely Yang Guifei,
concubine to the emperor,
a Helen of China, have made
of our gleaming grocery stores, 
always awash in berries, melons,
tangerines? Her passion for lychees,
rushed north by a chain of horsemen,
laid waste to a dynasty. 
She must have understood,
at least upon the deadly finale,
the cost of transporting food
so fragile over so many li 
for pleasure, not necessity,
while the kingdom faltered.
History wants a great beauty
to undermine a ruler 
through human weakness.
And who of highest power
would deny his most-loved mistress
her longing for a flavor 
available briefly, far away?
There’s something classical
about her appetite, about the chain
of sweating couriers, thirsty, fearful 
of bruising the delicate fruit.
It proves how far we’ve come,
those tiny stickers with PLUs
and far-flung nations of origin 
so common, we decry the waste.
The good peasants of antiquity
always ate locally, if at the cost
of variety, and under tyranny. 
Neither they nor we would refuse
a bunch of ripe lychees in December.
Neither they nor we get to choose
who would eat humbly, who like an emperor.
",Adrienne Su,"Activities,Eating & Drinking,Social Commentaries,History & Politics,Money & Economics"
180,"
                    The Invention of the Interstate System
                ","
begins in dirt, clumps of Queen Anne’s lace, bindweed unfurling its moons in the morning  to start somewhere to perform one’s certain act of  failure 
begins as still life with foliage and road 
one man with a shovel, digging one measure-full of map, a clump resting heavy on his blade 
one woman in a house up the grade laboring at a washbasin, her hands pinked raw, her mind worrying some idea east to west, passing it through every state her imagination has to offer 
begins with her view: blot of man in grass landscape  to throw one’s sorrow throw one’s lonely sorrow like a clod of dirt to the sky 
begins with the sound of rustling, dried stalk against stalk in wind whipped up by the motion metal makes through place 
and you, love, in the passenger seat with muddy boots and what’s native to your veins 
the window rolled down, the hand making waves 
and me admitting: I am that woman, I am that woman  make us thread and lace us let us be a vessel holding everything together 
silence to silence, thwap upon thwap of fence posts gauging speed 
then Briza maxima, big quaking grass rattling 
a car towing a car with a hitch-line 
the shock of scotch broom in a ditch giving order, yellowing the scene,  defining margin and median 
the blocks of who lives where, the borders of recognizable plots we create when we wake, we create in our wake 
networked, but not in the way General Pershing displayed his blueprint  for defense  to weave our fingers strong as rope to bond with knots something other  than a nation 
begins with the defenseless, the redlined neighborhood thought less than 
the dips and curves and blinker’s blitzing through the dark 
we feel in the heart, centrifugal force 
and we ride: no destination, no end to the turning ego, its fuel of insecurities  to be moving and acting and weaving through space 
the trace of our being here, tattooed in asphalt like the body’s Blaschko lines made visible 
a pattern, a pattern manifest, the way we were made  your palm look at your palm look at all the connections you hold in your hand
",Mira Rosenthal,"Activities,Travels & Journeys,Relationships,Social Commentaries,History & Politics"
181,"
                    Zugzwang
                ","
I am unhappy about your description of my life as dull.
It is dull but I dislike you using the word dull. 
If I could I would unhook the receiver from the wall and
place it on your dirty mouth. I don’t feel able to elucidate. 
If you hadn’t known the German for lose/lose, if you
hadn’t the face of Dürer as Christ in Self-Portrait of 
Dürer as Christ",Claudine Toutoungi,"Living,Life Choices,Love,Break-ups & Vexed Love"
182,"
                    Locate
                ","
If all the dead exist in the underworld, does the underworld occur outside of time, what does that mean for your father, through what magic will you locate your father who has only just arrived, has always only just departed, only just deported, did you don a suit and loiter on the highway your hands gripping a giant gilt-framed photograph of him and what questions did you interview at all who passed those vampires and angels you encountered, can you state for the record the moan you heard the ghosts emit across the nation-state,,, wuaahh buu,,, did you perform three miracles for a virile hag a witch with universes for eyes and did you request in barter a single boon his location or did you unlock his location using a skeleton, are we all a line assembled from white keys of death and is this song the sonata we hear when we press those keys, was your tool to search for him a wishbone, did you slice the wishbone from the breast of a monstrous old god, who was the god, what was his username, was it one of the ghost-giants you fled from terrified that he may have glimpsed even a shred of you, was it the famished god who grabs small ghosts to its mouth and slurps down their marrow, was it a devourer whose fingerprints leak out red tears in hysterical shame, was it Francisco Pizarro, was it King Leopold, did you see Joe Arpaio levitating each leg borne aloft by flying police cars, did you see Winston Churchill that infant-faced faminist turning loose new Emergencies, was it Andrew Jackson mounting a scorpion across that moist trail this pilgrimage for creating new ghosts, did the ghosts cry out wwuu wah,,,,,,,,, how did you kill the god, is revolutionary politics the name for deicide,, a wa wa,,,, is the translation for that moan “god grief!” did you slay the god with smallpox or pistols, hemlock or Maxim, London debt or land grants or fantasies or plague blankets or kryptonite, was it patricide, did you pry your fingers into his rib cage, did you hold the bone’s moist handles up into the sky and poke that plump cloud with your dowsing rod, did the stick sniff out your father from this city of ghosts until this wet rod twitched, until the witching stick tugged you through hell’s alleyways, until you arrived here at this modest house, what category of building is the house that contains your father, until you found a prison, until you found a shadowless space where he waited underneath a star, is death the story of until, is death the story you came to untell, did the light emit a silence like hssssssshs, this light the star wept—was it a message from the past strewn across black heaven, an emergency beacon from a plague universe calling help help from masters and money, what sound do you hear arrayed against you (here the ghost chorus leaps and screams keke keke!), did the star halt above that house like a police chopper spotlight, basking its blue heat on your skin, was this when the star’s strange beams obliterated your shadow, did you cry no please my shadow is all I have here, did you say without my shadow I am a ghost, without my shadow I have no history, how did you feel when the star cried and wailed down its weep-light in fragile pink lineaments, did you see the star throned above where your father may be waiting, is your father the king who sleeps in a cave beneath the city or does his life continue in this mute house, is he washing the dishes as we speak, is he talking on the phone in that loud way of his, is he watching a K-Drama while eating 牛 肉 麵, did he clip the soup’s recipe from that most authentic of sources Gourmet magazine, had you bought him the subscription for his birthday and was his reply to you months later, “Fine, these French can cook but take away butter and they don’t know how to do anything,” (hahahahaha say the ghosts) was that many years ago now in fact probably a decade, did you just glance down at your wristwatch to show how many days are left in your very own life, do the manic watch hands ratchet around like helicopter blades chuh chuh chuh, were you given this watch from your future self that renegade timelord, do you have the time, is time something one can possess or does it soar away from us on outspread wings, but doesn’t Dōgen say that time does not fly since it does not exist outside of us, is it impossible to exist outside the underworld, did you open the front door to the house and see the living room from your childhood, the white Naugahyde couch preserving the dark halo that he cast when he dozed off during his hair dye, the cubic light of a TV luminous solely from VHF, and framed by the window: a blue Honda, car of his youth!,,, these nostalgic recreations do they make you wonder if you had somehow time traveled to a coordinate outside of the underworld, traveled to the past, or would it be more accurate to say that we are already inside the underworld, that the apocalypse is not a spectacle but what elapses as we speak, what does it mean to speak,, ha ha blah blah blah,,,, did you tour the house of memory saying nothing, did you find the doors to each room shut, all handles locked, is this how your waking brain prohibits all fantasies, is it true that they have outlawed dreams, who is they, did you come to your bedroom door and open your wallet to take out your key, did you see on a dollar the face of an evil god, did Andrew Jackson wink at you from the currency and bare his fangs hsss sa sa,,,,,,, was this when the five dollar bill singed you, did the sign of the apocalyptic populist ignite and burn out the grooves from your fingerprints, how loud did you holler shocked, did your wallet keep falling into the floor and never stop, did the floor wobble like a trampoline, did a menacing voice laugh and say on god’s intercom here is your shadow catch, did you fall through the hole in the carpet, did you land in one of the old sewers and in the distance see someone sleeping on a stone slab, was it a body curled to the side uncovered by any blanket, did you talk on the phone with the woman from the ambulance, was it true that your sister and your stepmother saw his body covered only with a sheet, did the woman tell you what she had seen and do you remember telling her “You have a terrible job—you must tell everyone that the one they love has died,” did you recognize her when you entered this place and saw the Recording Angel, is the occupation of that archivist of prayers: writer, did the sleeping figure roll back as though on an airport conveyer, do the walls of the cave inch closer to strangle you, is the underworld a prison since those who enter it have no right to return, who will rescue you, who will rescue you now that you have lathered yourself with cave, is it true that you have forgotten how to breathe, did you aspire to be as breathless as the ghosts who populate this place or did you just have a bad day, would you like to stop, would you like to stop and catch your breath huh huhh huh, did you simultaneously call your expression narcissism and your restraint self-loathing, doubly self-damning, have you been given permission to forgive yourself, shall you ask the mirror Uncle what ails thee, what about your dowsing rod, will you wish for water, wish for air, witch for heir, did you tap your bone wand to the gray rocks repressing you, did the earth and its baroque caverns transpire into the simple night about you, did you look down through the wind from a ship sailing dark heights, did you find the ship’s steadiness strange given that nothing supported you above sky and city, well is the air nothing, was it the Maya who said that soul was simply breath, is the soul nothing, what if you crept into the airship’s spacious caverns and saw not helium but a palace of flowers, what if the entire vessel had been borne up by the exhalations of flowers their breath tasting sweet into the air, what if this was the world, what if you lived on a planet that had grown itself from the souls of flowers, did you once believe that grief was the philosopher’s stone whose touch silenced all spacetime into dark matter, on Sunday did you meet a man at the market who had returned to Haiti the day before the earthquake, did he tell you what that taught him, was the lesson to quit his job and love his daughter and begin afresh, did he remind you that you imagine the world for your child, is the poet what we name the vocation of love and freedom, on that first summer day in March did your child’s grandparents text you Christos Anesti, did you sit yourself down in the airship’s aisles unsuspended by clouds and float in the silver air, buoyed by nothing so magical as resurrection, did you take a deep breath and accept an in-flight complimentary beverage, did you gaze out the window at the spill of stars and think no not stars, the lights of the city, each one lit by a soul below?
",Ken Chen,"Living,Time & Brevity,Relationships,Family & Ancestors,Religion,The Spiritual,Social Commentaries,History & Politics,Mythology & Folklore,Ghosts & the Supernatural"
183,"
                    son/daughter
                ","
In a dream my dad fell 
      from the top of a steep       white       mountain 
            down       into a blue       crevasse
            like the space between       two waves
            where the light       shines through       just enough
            to tell you
            you will miss this life dearly. 
              The falling took years. 
              I could hear him moving through air       and then finally nothing.
   
In another dream       my dad was an angel 
      his see-through body dangling in the air 
              floating above me       face shimmery like tinfoil 
                     and I cried and cried when he told me 
                     I can’t come back to earth now       not ever.    
                                                                                 When my dad told me 
                                                                                      You will always be my daughter 
                                                                                            maybe it was like that.   
                                                                         Will I be allowed to come back to earth 
                                                                         and be your son?
",Kai Conradi,"Living,Sorrow & Grieving,Relationships,Family & Ancestors,Social Commentaries,Gender & Sexuality"
184,"
                    Migrant Serenade
                ","
We come to the city; we embrace the pantheon,
but they dream of their one and only god.
They want to be villagers again. 
Just when you began to distinguish
the sound of your history from its echo,
they want to be villagers again. 
You must not kill their sacred animal;
you must give up your taboo for theirs
for they want to be villagers again. 
Sunlight and shadow is what made this rose, you say,
a god who could not have arisen elsewhere
but they want to be villagers again. 
The twist in your tongue is the river’s song.
It’s how your feet walk now, how your fingers strum,
but they want to be villagers again. 
The dusk of their coffee, their muddy water booze,
the herb of life shooting out of the impeccable concrete,
but they want to be villagers again. 
You point to salt escaping the sea’s hold—
a vision of a tundra reclaiming the desiccated grass,
but they want to be villagers again. 
You build terraces for the ancient woods to breathe,
but haunted by maggots eating their dead bullock—the speed
of light is always late—they’ve become villagers again.
",Khaled Mattawa,"Activities,Travels & Journeys,Social Commentaries,History & Politics,War & Conflict"
185,"
                    The Boat Merchant’s Wife
                ","



Sabratha



He started out making feluccas;
an Egyptian taught him how.
Then he opened a shop by the beach, 
sold ice cream, parasols and chairs.
He asked for my hand when I was
in teacher college, first year. 
Time passes like the Ghibli here.
I was 7 months with my third baby
when someone sought him 
for a Zodiac. He traveled all the way
to Guangzhou, brought back a dozen,
has been selling them ever since. 
One night I asked how strong
they were, how many they carry.
“It’s all in the booklet,” he said, 
“no reason for what keeps happening
to them.” He sipped from a glass
of bokha and explained how 
from this same jetty, long before
the Arabs and Vandals, even before
the Romans and their famous theater, 
boats filled with people and goods
and sailed off. A day or a week later,
the sea sends back the drowned. 
His long-lashed eyes closed when
he spoke, his face unchanged by the years.
His fingers moved so carefully 
putting out his cigarette. He saw me
looking, nodded, then pulled me toward
his manhood to help him sleep.
",Khaled Mattawa,"Living,Life Choices,Marriage & Companionship,Activities,Jobs & Working,Social Commentaries,Gender & Sexuality,History & Politics"
186,"
                    Two-Part Inventions
                ","
ONE 
The First Invention, ear laid to earth, is listening
to the fingerlength underground beings moving in segments
through tiny tunnels; one inch shrugs out another,
as bamboo climbs in segments, joint by green joint ... 
Or an inexpressive mask that must travel
the world, uphill and down, always keeping its own
counsel, impelling  forward from inward—
unspelling a logic that cannot look out or see. 
Or a thought that recurs, till one wonders
whether Bach’s theme, without cause, or pause,
is like a cat in a night-closet, the cat evenly leaping
from level to level; the theme that sinks down 
into one hand, next leaps to the other, reprises itself,
then doubles down softly, a counterpane on a shelf. 
SIX 
Have you ever noticed, in Piranesi’s Carceri d’invenzione, the tiny repeating figures in the foreground?
Brittle, frugal, fugal, they ignore that above them
stairways rise out of sight, and somewhere else 
collapse, in-swallowed, devolving through walls or domes.
The same way Bach’s motive splays out to the right,
swoons flatly, swans it, footnotes, follows up,
talks to itself, purls, mutters, dawdles, resumes ... 
Six is playing at infancy, one three five,
that’s all Baby knows, a block pile clumsily building.
Then the tall chord falls sideways—pretends
it’s a melody—everyone knows it’s a chord— 
or a problem in long division which at one point just sticks
on that endless, that déjà vu decimal, six six six ... 
ELEVEN 
Eleven is caterpillars, two, marching: the one
stave of thick-barred sixteenth notes set down
precisely beneath the other, tiptoe to toetip,
close-clinging, rising and falling and mirrored: 
one looks down and locks the other’s horns,
or its own; the two could be said to be linked
like the locked yet endlessly out-spiraling
spindled ribbons of DNA. Yet there’s something 
scary, like Cicero’s dizzying concept
of motus animi, hurtling mind unstoppably inventing
figures on figures, yet with no vanishing point,
a world of ladders or stairwells 
where space keeps revolving, welling up into space
endless, unfree, unfolding like stairs in a case.
",Anne Winters,"Living,The Mind,Arts & Sciences,Music,Painting & Sculpture,Sciences"
187,"
                    From “dem time(s) when aunt esther use(d) skinRite complexion correckor to look like Josephine Baker &/or Elizabeth”
                ","
slate 1
 

   slate 2
 
   slate 4
 
 
 
",avery r. young,
188,"
                    Dream Ending in a Host of Angels Zipping Me into My Grandmother’s Dress
                ","
Once & could-be-future girl, believe we’re not like you. Sure,
the pickup was tucked in dusk, shed all carefree w/ its sunburn
shimmer. Still nothing new to say about the creek, how reeds
get moony, or when we saw pelicans hold hands & gossip.
But y’all must wanna get this close to soft, so here goes: spool
heels, silver sleeves w/ pink accents, kind to stifle the trailer
static, same color Dot says Granny passed in. Past since good
& we did keep her pearls for you, kissed the hems holy, darned
the moth marks back to true. Goes: none of it imitation. Goes:
we are her barefoot bloodline, butter in the salt pan. Trust
you’re not from this sweat but still a goodness. You once most
only boy in the yard, laugh into your born polish. Step-joy,
uncousin: home is a name you bless in silk & cinch. Believe
we’re all alive here. Come hum this lace blood-warm. Glisten.
",Bradley Trumpfheller,"Relationships,Family & Ancestors,Religion,The Spiritual,Social Commentaries,Gender & Sexuality"
189,"
                    Scarcely There
                ","



[For J.A.]



After the wind just stops you still hear
the wind’s wild almost, its approach and retreat, and how it kept
circling as-if-trying, as if about-to-be, an almost-speech,
loud and full of syntax casting about for 
life, form, limit, fate. To be bodied. To strut. To have
meaning. How easily we wear ourselves
as if it is nothing to have
origin, whirl, outcome, end      and still be. 
After the high winds stop you’re forced to hear
the freshness of what’s
there. It smacks, shimmers—this sound of
the scarcely there, the adamantly almost, all betweens, sub-­ 
siding till adjustment—and then the re-blanketing evenness sets in ... Gone
all that acceleration shooting up and back, futurist, wild with naming and naming
its one price. Oh nothing holds. Just the rattling of the going and
coming together of things, as if matter itself is trying 
to find something true to
say—crazed investigation, tentative prophecy trying on savage
shape, figure, progression—widening without be-
coming. Is this the last war now, finally—but no, only more of notion’s 
motions—more more the wind says, break grief, loosen possibility, let vague
hopes float, sink—let other debris slip into
their place. Rootless mind. Shallow whirling of  law and more and yet more law
brocading the emptiness. Then suddenly 
all stills. It is near noon. No more
spillage. No more gorgeous waste of effort. No more upgathering,
out-tossed reachings of green as if imagining some out there exists—hovering
inhalations, then as-if-hiding, then all coughed-out at once in a tumble— too much, 
too many, disconcerted, uncountable. Yet no dream ... 
After the wind stops you hear fact. You hear fact’s plan. It is huge.
The tree does not escape. Things are finished forces.
You hear a name-call from far off, tossed, dropped. Someone gives up.
Light rips here from there. Where birdcalls cease, you hear the under- 
neath. Try living again day’s long pitched syllable-ooze
hums after the high winds stop & your final footprint lifts off & no matter how clean you want it to be
nothing is ever going to be gone enough. Oh. Oak, show us up.
Indecipherable green sound us. Stilled leaf-chatter quiver up 
again, rustle the secret rule we’ll never catch in
time. To be late is to be alive. This Sunday. All things are
mention of themselves—as the dog barks, the air conditioner
scours its air—and each thing takes its place. But look, keenly, adamantly 
a road has appeared—a sense that something is happening striates
the open air—there is a limping in the light, a tiny withdrawal of light from
light, which makes a form in the gully—you haven’t changed much it
says—children still appearing out of nowhere now, so violently heavy with 
life, they dart, they breed, you be a ghost now the surrounding tunes up, 
as if it is all going to begin again, though this time without you
standing here noticing.... So notice is given. The look on the light
is that of an argument about to be made and won.
Yes you were underneath history for this while, 
you were able to write the history of being underneath,
you were able to disappear and make the rest appear.
But now it wants its furious place again, all floral and full of appearance,
full of its fourth wall, its silvery after-tomorrow, 
and ramping-up now quite a spectacular dusk.
This page is turning. It is full of mattering. Our unrealized project glows in
your mind. The animals lift their heads for an instant then back.
New shoots in the parched field. All the details are important you think but 
no, even the ruins look like they might be fake—important but fake—
though we must learn what they have to teach then push them back
deep into the light. This is the way it is it murmurs, circling,
out here in the middle of summer. Which summer was it which was 
the last of the summers. All the children are returned home. Day turns its windless
folio. You stay it says. We pass here now onto the next-on world. You stay.
",Jorie Graham,"Living,Growing Old,Time & Brevity,Nature,Weather,Arts & Sciences,Language & Linguistics"
190,"
                    Crepuscule with Paula
                ","
Does realism get your vote? It gets mine.
The plants with their insatiable thirst for appearances,
the heart-stopping 7:00 p.m. air moonlighting as a pressed-cardboard Korean ashtray
(server, modest coaster) decorated with a single blondish branch
holding six leaves and a piece of rose-colored fruit (pear, plum, ripe peach)
slightly raised as if applied to the flat, creamy space behind
flecked with light gray, light green, and brown marks of varying size
from pinpricks to ashes, pencil (it looks like) to brush.
The romance of the windowpanes (I’m squinting a little) has nothing
to do with the misguided view, the one with the Fates schmoozing
under the maroon awning of the high-rise (schmoos is more like it)
and the embarrassed-looking sycamores revealing for all they’re worth
in their slightly fictionalized but emotionally accurate way, which  contributes to the overall tone
without detracting from the realistic participation,
a motorbike taking the corner too fast, a cat knowing the worst that can possibly happen and managing to avoid it,
which could be the key signature if not for a free-standing
radiance just outside, unmoored, a hint of plum or Anjou pear.
",Charles North,"Living,The Mind,Time & Brevity,Nature"
191,"
                    George Smiley
                ","
in the cornfield along with the husks and splintered baseball bats
(I almost said smitten, as though late p.m. in October
were the moon and not just a windy compound)
and the risk-tolerant deer, woodchucks, crows, and occasional wild turkey
all of which darken perceptibly but don’t stop. Reading stops.
Like the active voice which the French use for weather (“Il fait ... ”)
so the subject takes on a cloudy presence but no reference,
sans agency sans intrigue sans whereabouts.
",Charles North,"Living,The Mind,Nature,Landscapes & Pastorals,Arts & Sciences,Reading & Books"
